Method,Feature,KS,Wasserstein,MeanShift
MICE,IL6,0.018411740403441648,0.03566854064885525,0.0034388427088107554
MICE,IL10,0.09963331081733089,0.28590251945081574,0.007059681484049743
MICE,TNFα,0.11351665125878786,0.15854105726728546,0.0025038480758207784
MICE,CRP,0.002083351380382713,0.008177185060194977,0.002803462041397584
MICE,ACTH,0.0017894190871369294,0.024912651792352532,0.0007947968901056673
MICE,PTC,0.059273751424332985,10.443262076488466,0.0021331717866025822
MICE,IL6/IL10,0.06957771438450899,0.4577796185329784,0.15364979263404657
MICE,TNFα/IL10,0.09130780641971062,0.12328309204520213,0.0866851730301639
MICE,CRP/IL10,0.07441865491009682,0.7820915400998425,0.16142666787282545
MICE,PTC/ACTH,0.034578146611341634,1.6256707758115212,0.08842811292911049
MICE,PTC/IL6,0.03420402240210416,8.127670150007075,0.023979921694186928
MICE,PTC/CRP,0.018894293793267826,3.156839485932456,0.008099506279663236
MICE,IL6/TNFα,0.07074526288419661,0.9749707985184851,0.158538891457703
MICE,CRP/IL6,0.023624391123940106,0.03276211713581244,0.015455195264444983
MICE,ACTH/IL6,0.016272776474833123,0.31085252565863514,0.01705755373007428
Mean,IL6,0.02568662319699664,0.04435480214970434,1.17968873806903e-16
Mean,IL10,0.13292482871755285,0.3491977770247516,0.0
Mean,TNFα,0.1253843011631157,0.16907276443635116,0.0
Mean,CRP,0.004911684959155918,0.011316974408720756,1.544595895467815e-16
Mean,ACTH,0.0024291147994467497,0.0346127211560627,1.7491178848828984e-16
Mean,PTC,0.11300066648033882,17.781592733169813,0.0
Mean,IL6/IL10,0.06956690871369295,0.46303968939584356,0.15479882863786884
Mean,TNFα/IL10,0.11351665125878786,0.13246297021146766,0.09062899790214937
Mean,CRP/IL10,0.07772519017980636,0.7662678075419325,0.1580396282670726
Mean,PTC/ACTH,0.020963001383125863,2.3407080229295705,0.1431489536693022
Mean,PTC/IL6,0.052150647348252956,10.844180639539491,0.02141396889127751
Mean,PTC/CRP,0.02304367138662882,4.0829005948188595,0.007938022573288203
Mean,IL6/TNFα,0.06867057408751612,0.9737276141006594,0.1580612975558693
Mean,CRP/IL6,0.021540681941187082,0.025383450358373045,0.01091382826030869
Mean,ACTH/IL6,0.02123398881472127,0.3458814024692224,0.019205764457818852
KNN,IL6,0.018411740403441648,0.03205385209534587,0.00606302481238326
KNN,IL10,0.06213344484115496,0.22719603932795165,0.045157776371820314
KNN,TNFα,0.053640917592931006,0.09043983402489676,0.027196900517706284
KNN,CRP,0.002533805732897894,0.00799346841188895,0.0024053474187921437
KNN,ACTH,0.001564661134163209,0.02421324343015211,0.0003432966602980695
KNN,PTC,0.03136757465654763,7.799190763872465,0.01130020969767115
KNN,IL6/IL10,0.05170513485477178,0.42167153103809474,0.13881403778283077
KNN,TNFα/IL10,0.04332122202395029,0.0879261406074155,0.06936616059485219
KNN,CRP/IL10,0.05430930152143845,0.7224296891349922,0.14613653939974205
KNN,PTC/ACTH,0.019320539419087138,1.671779781889657,0.08592475069137216
KNN,PTC/IL6,0.027628505997324446,7.707619554810503,0.02934638664977393
KNN,PTC/CRP,0.021830276372382263,3.446981091741097,0.01973046179795128
KNN,IL6/TNFα,0.05172096248225951,0.9006020132654857,0.14511065902545672
KNN,CRP/IL6,0.019465993144506585,0.021534087089384216,0.009894643471041117
KNN,ACTH/IL6,0.015009922424679776,0.27091319162335464,0.014111435861614797
VAE,IL6,0.0329165993066408,0.041919590506682376,0.010243328302832725
VAE,IL10,0.08356117383426077,0.2896309949610799,0.06110452722748158
VAE,TNFα,0.15438694558510524,0.14011274667757193,0.052972436529740353
VAE,CRP,0.019209279359661813,0.008332312696394922,0.0016378987341416295
VAE,ACTH,0.00783195020746888,0.029062708747996692,0.0003323174562497385
VAE,PTC,0.06190742373099994,10.875238486984571,0.004075668763148038
VAE,IL6/IL10,0.051175656984785614,0.4204794184435643,0.13710939074450879
VAE,TNFα/IL10,0.09131855610259497,0.12450981656843704,0.08554193809762732
VAE,CRP/IL10,0.052234612724757955,0.7288753202745867,0.14453289386513568
VAE,PTC/ACTH,0.02562024550484094,1.985725783144995,0.111129757726494
VAE,PTC/IL6,0.03344443688637961,8.781665933057969,0.021800865481599627
VAE,PTC/CRP,0.023791209386477146,3.2813506550694136,0.012900129059953096
VAE,IL6/TNFα,0.05337312980076487,0.9012549231321042,0.14413641880815015
VAE,CRP/IL6,0.019465993144506585,0.021900244558197352,0.00463036295185407
VAE,ACTH/IL6,0.016272776474833123,0.2890272330886607,0.012452099419963083
