feature,n0,n1,shapiro0_p,shapiro1_p,levene_p,normality_note
IL6,325,136,7.931652104667773e-27,2.6966034459292025e-17,0.5449054374862907,
IL10,268,118,1.2055177497211427e-28,4.877542869472988e-20,0.9164177602872636,
TNFalpha,267,118,9.572051123002946e-23,6.5642301873631464e-18,0.2852299795822347,
CRP,335,143,2.2890098115298844e-34,2.3227164658674692e-23,0.8201454549657611,
ACTH,338,141,4.248133896272724e-18,3.710345698786805e-12,0.8872213437893588,
PTC,269,117,1.4159395550744573e-05,1.5449098316556594e-05,0.0606655825841743,

# 检验说明:
# alpha = 0.05
# Shapiro p > 0.05 → 近似正态分布
# Levene p > 0.05 → 方差齐性
